Title,Metascore,Awards,rate
Secretary,63,40,8
Scooby-Doo,35,11,5
Serving Sara,18,0,6
Showtime,32,5,6
Slackers,12,0,6
Snow Dogs,29,1,6
Sorority Boys,25,2,6
Spun,41,2,7
Stealing Harvard,25,2,6
Sweet Home Alabama,45,9,7
The Sweetest Thing,32,4,6
The Tuxedo,30,3,6
Two Weeks Notice,42,4,7
Undercover Brother,69,8,6
Alex & Emma,32,0,6
American Splendor,90,78,8
American Wedding,43,9,7
Anger Management,52,7,7
Anything Else,43,0,7
Bad Boys II,38,17,7
Bad Santa,70,12,8
Big Fish,58,54,8
Bringing Down the House,39,17,6
Bruce Almighty,46,14,7
Bulletproof Monk,40,1,6
The Cat in the Hat,19,16,4
Charlie's Angels: Full Throttle,48,21,5
Cheaper by the Dozen,46,9,6
Coffee and Cigarettes,65,9,8
Daddy Day Care,39,8,6
Death of a Dynasty,41,0,4
Deliver Us from Eva,46,16,7
Dickie Roberts: Former Child Star,36,2,6
Down with Love,52,11,7
Dumb and Dumberer: When Harry Met Lloyd,19,5,4
Duplex,50,1,6
Elf,64,9,7
Finding Nemo,90,104,9
Freaky Friday,70,15,7
From Justin to Kelly,14,17,3
Gigli,18,15,3
Good Boy!,49,4,6
A Guy Thing,27,0,6
The Haunted Mansion,34,5,5
Head of State,44,9,6
Hollywood Homicide,47,0,6
How to Lose a Guy in 10 Days,45,8,7
Intolerable Cruelty,71,3,7
Just Married,28,9,6
"Legally Blonde 2: Red, White & Blonde",47,6,5
The Lizzie McGuire Movie,56,5,6
Looney Tunes: Back in Action,64,9,6
Lost in Translation,89,119,8
Malibu's Most Wanted,43,3,6
Marci X,20,0,3
Matchstick Men,61,3,8
The Medallion,38,2,6
A Mighty Wind,81,39,8
National Security,31,0,6
Old School,54,4,8
Pirates of the Caribbean: The Curse of the Black Pearl,63,122,9
The Rundown,59,5,7
Scary Movie 3,49,4,6
School of Rock,82,24,8
Shanghai Knights,58,4,7
Something's Gotta Give,66,20,7
The Station Agent,81,60,8
Stuck on You,62,3,6
View from the Top,27,1,6
What a Girl Wants,41,1,6
13 Going on 30,57,11,7
50 First Dates,48,15,7
After the Sunset,38,1,7
Along Came Polly,44,9,6
Anchorman: The Legend of Ron Burgundy,63,12,8
Around the World in 80 Days,49,2,6
Barbershop 2: Back in Business,59,12,6
The Big Bounce,42,0,5
Christmas with the Kranks,22,3,6
Club Dread,45,0,6
Connie and Carla,44,1,7
The Cookout,15,2,4
Dead & Breakfast,34,6,6
D.E.B.S.,42,3,6
A Dirty Shame,56,1,6
Dodgeball: A True Underdog Story,55,9,7
Envy,31,1,5
Eulogy,34,0,7
EuroTrip,45,2,7
Fat Albert,39,1,5
First Daughter,31,0,5
Garden State,67,50,8
The Girl Next Door,47,6,7
Harold & Kumar Go to White Castle,64,3,8
Home on the Range,50,5,6
I Heart Huckabees,55,13,7
Imaginary Heroes,53,3,8
In Good Company,66,9,7
Incident at Loch Ness,62,1,7
Jersey Girl,43,7,7
Johnson Family Vacation,29,3,5
The Ladykillers,56,8,7
The Life Aquatic with Steve Zissou,62,13,8
Mean Girls,66,29,7
Melinda and Melinda,54,0,7
Meet the Fockers,41,8,7
Mr 3000,57,6,6
Napoleon Dynamite,64,32,7
New York Minute,33,4,5
Ocean's Twelve,58,10,7
Palindromes,53,3,7
Scooby-Doo 2: Monsters Unleashed,34,3,5
Seed of Chucky,46,7,5
Shall We Dance,47,7,7
Shark Tale,48,19,6
She Hate Me,28,7,6
Shrek 2,75,64,8
Sideways,94,114,8
Sleepover,33,4,6
Soul Plane,33,1,5
Spanglish,48,15,7
The SpongeBob SquarePants Movie,66,11,7
Starsky & Hutch,55,12,7
The Stepford Wives,42,3,6
Surviving Christmas,19,5,6
Taxi,27,8,5
Team America: World Police,64,12,8
The Terminal,55,8,8
White Chicks,41,10,6
The Whole Ten Yards,24,1,6
Win a Date with Tad Hamilton!,52,8,6
Without a Paddle,29,0,6
The 40-Year-Old Virgin,73,28,8
Adam & Steve,48,1,6
Are We There Yet?,27,9,5
The Aristocrats,72,6,7
Bad News Bears,65,5,6
The Baxter,51,0,7
Beauty Shop,53,15,6
Bewitched,34,14,5
Cheaper by the Dozen 2,34,6,6
Chicken Little,48,19,6
The Chumscrubber,41,1,7
The Comedians of Comedy,46,0,8
Deuce Bigalow: European Gigolo,23,13,5
Diary of a Mad Black Woman,36,26,6
Dirty Deeds,28,0,6
The Dukes of Hazzard,33,19,6
Everything Is Illuminated,58,11,8
Fever Pitch,56,9,7
Fun with Dick and Jane,47,7,7
The Girl from Monday,45,1,6
Guess Who,49,16,6
Hitch,58,28,7
The Honeymooners,31,4,4
I Am a Sex Addict,62,1,7
The Ice Harvest,62,2,7
In Her Shoes,60,8,7
In the Mix,31,1,3
Junebug,80,47,7
Just Friends,47,3,7
Just Like Heaven,47,2,7
Kicking & Screaming,45,7,6
King's Ransom,11,1,5
Kiss Kiss Bang Bang,72,20,8
The Longest Yard,48,19,7
Madagascar,57,32,7
The Man,33,2,6
Man of the House,35,0,6
The Matador,65,7,7
Me and You and Everyone We Know,76,36,8
Monster-in-Law,31,11,6
Mr. & Mrs. Smith,55,27,7
Miss Congeniality 2: Armed and Fabulous,34,7,5
Must Love Dogs,46,1,6
Mutual Appreciation,84,4,7
Never Been Thawed,41,0,6
The Pacifier,30,11,6
The Perfect Man,27,5,6
Pretty Persuasion,45,3,7
The Producers,52,18,7
Rebound,36,2,6
The Ringer,46,1,6
Robots,64,21,7
Rumor Has It...,35,0,6
Shopgirl,62,8,7
Sky High,62,1,7
Son of the Mask,20,19,3
Thank You for Smoking,71,43,8
The Thing About My Folks,48,6,7
Transamerica,66,53,8
Underclassman,19,0,4
Waiting...,30,0,7
The Weather Man,61,0,7
Wedding Crashers,64,22,7
The Wedding Date,32,0,7
"Yours, Mine & Ours",38,6,6
Accepted,47,4,7
American Dreamz,45,1,6
The Ant Bully,59,5,6
Art School Confidential,54,0,7
Barnyard,42,3,6
Beerfest,46,4,7
Behind the Mask: The Rise of Leslie Vernon,66,8,7
The Benchwarmers,25,7,6
Big Momma's House 2,34,6,5
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,89,50,8
The Break-Up,45,7,6
